# Cartographie détaillée des valeurs générée le 2025-11-14T15:16:58-05:00
# Champ | Libellé | Type | Section | Origine | Observations
arret_travail | Je suis en arrêt de travail présentement | checkbox | Emploi(s) | index.php:getFieldDefinitions:arret_travail | 2
arret_travail_cause | Cause de l’arrêt de travail | select | Emploi(s) | index.php:getFieldDefinitions:arret_travail_cause | 2
arret_travail_duree | Durée de l’arrêt de travail | select | Emploi(s) | index.php:getFieldDefinitions:arret_travail_duree | 2
arret_travail_type_revenu | Type de revenu pendant l’arrêt | select | Emploi(s) | index.php:getFieldDefinitions:arret_travail_type_revenu | 2
arret_travail_date_retour | Avez-vous une date de retour au travail officielle ? | select | Emploi(s) | index.php:getFieldDefinitions:arret_travail_date_retour | 2
assurance_emploi | Avez-vous eu recours à de l’assurance-emploi ? | select | Emploi(s) | index.php:getFieldDefinitions:assurance_emploi | 13
assurance_emploi_pourquoi | Pourquoi avez-vous eu recours à l’assurance-emploi ? | text | Emploi(s) | index.php:getFieldDefinitions:assurance_emploi_pourquoi | 13
revenus_checkbox | Sélectionnez vos sources de revenus | checkboxes | Revenus | index.php:getFieldDefinitions:revenus_checkbox | 19
revenus_autonome_type | Quel type de revenu autonome détenez-vous ? | select | Revenus | index.php:getFieldDefinitions:revenus_autonome_type | 20
revenus_autonome_structure | Type de revenus de travailleur autonome | select | Revenus | index.php:getFieldDefinitions:revenus_autonome_structure | 12
revenus_add | Revenus additionnels déclarés | repeatable | Revenus | index.php:getFieldDefinitions:revenus_add | 0
revenus_add.type | Type de revenu | select | Revenus | index.php:getFieldDefinitions:revenus_add.type | 0
revenus_add.autres | Précisez si Autres | text | Revenus | index.php:getFieldDefinitions:revenus_add.autres | 0
actifs_add | Actifs déclarés | repeatable | Actifs | index.php:getFieldDefinitions:actifs_add | 0
actifs_add.type | Type d’actif | select | Actifs | index.php:getFieldDefinitions:actifs_add.type | 23
actifs_add.autres | Précisez si Autres | text | Actifs | index.php:getFieldDefinitions:actifs_add.autres | 23
actifs_add.description | Description | text | Actifs | index.php:getFieldDefinitions:actifs_add.description | 23
actifs_add.valeur | Valeur | text | Actifs | index.php:getFieldDefinitions:actifs_add.valeur | 23
passifs_presence | Détenez-vous des dettes ? | select | Passifs | index.php:getFieldDefinitions:passifs_presence | 20
passifs_add | Dettes déclarées | repeatable | Passifs | index.php:getFieldDefinitions:passifs_add | 0
passifs_add.type | Type de dette | select | Passifs | index.php:getFieldDefinitions:passifs_add.type | 23
passifs_add.montant_pret | Montant du prêt | text | Passifs | index.php:getFieldDefinitions:passifs_add.montant_pret | 23
passifs_add.montant_versement | Montant du versement | text | Passifs | index.php:getFieldDefinitions:passifs_add.montant_versement | 23
passifs_add.type_versement | Type de versement | select | Passifs | index.php:getFieldDefinitions:passifs_add.type_versement | 23
passifs_add.limite | Limite | text | Passifs | index.php:getFieldDefinitions:passifs_add.limite | 23
passifs_add.solde | Solde | text | Passifs | index.php:getFieldDefinitions:passifs_add.solde | 23
passifs_add.banque | Nom de la banque | text | Passifs | index.php:getFieldDefinitions:passifs_add.banque | 23
passifs_add.banque_pret | Nom de la banque de prêt | text | Passifs | index.php:getFieldDefinitions:passifs_add.banque_pret | 23
passifs_add.terme_restant | Terme restant (mois) | text | Passifs | index.php:getFieldDefinitions:passifs_add.terme_restant | 23
passifs_add.paiement_minimum | Paiement minimum | text | Passifs | index.php:getFieldDefinitions:passifs_add.paiement_minimum | 23
faillite_option | Faillite ou proposition : Option sélectionnée | select | Faillite ou proposition au consommateur | index.php:getFieldDefinitions:faillite_option | 20
faillite_montant | Montant de faillite ou proposition | text | Faillite ou proposition au consommateur | index.php:getFieldDefinitions:faillite_montant | 20
faillite_date_declaree | Date déclarée | date | Faillite ou proposition au consommateur | index.php:getFieldDefinitions:faillite_date_declaree | 20
faillite_date_liberation | Date de libération | date | Faillite ou proposition au consommateur | index.php:getFieldDefinitions:faillite_date_liberation | 20
score_credit_option | Connaissance approximative du score de crédit | select | Faillite ou proposition au consommateur | index.php:getFieldDefinitions:score_credit_option | 20
credit_score | Score approximatif | text | Faillite ou proposition au consommateur | index.php:getFieldDefinitions:credit_score | 20
paiements_manques | Paiements manqués (raisons) | textarea | Faillite ou proposition au consommateur | index.php:getFieldDefinitions:paiements_manques | 20
paiements_utilisation | Historique d’utilisation des paiements | textarea | Faillite ou proposition au consommateur | index.php:getFieldDefinitions:paiements_utilisation | 20
proprietes_presence | Possession de propriétés | select | Propriétés Détenues | index.php:getFieldDefinitions:proprietes_presence | 20
proprietes | Détails des propriétés détenues | repeatable | Propriétés Détenues | index.php:getFieldDefinitions:proprietes | 0
proprietes.adresse_complete | Adresse complète de la propriété | text | Propriétés Détenues | index.php:getFieldDefinitions:proprietes.adresse_complete | 3
proprietes.refinancer | Cette propriété est-elle à refinancer ? | select | Propriétés Détenues | index.php:getFieldDefinitions:proprietes.refinancer | 3
proprietes.pret_hypothecaire | Prêt hypothécaire en place | select | Propriétés Détenues | index.php:getFieldDefinitions:proprietes.pret_hypothecaire | 3
proprietes.date_renouvellement | Date approximative de renouvellement | date | Propriétés Détenues | index.php:getFieldDefinitions:proprietes.date_renouvellement | 3
proprietes.type | Type de propriété | select | Propriétés Détenues | index.php:getFieldDefinitions:proprietes.type | 3
proprietes.taxes_municipales | Taxes municipales annuelles | text | Propriétés Détenues | index.php:getFieldDefinitions:proprietes.taxes_municipales | 3
proprietes.taxes_scolaires | Taxes scolaires annuelles | text | Propriétés Détenues | index.php:getFieldDefinitions:proprietes.taxes_scolaires | 3
proprietes.autres_personnes | Autres personnes sur le titre | text | Propriétés Détenues | index.php:getFieldDefinitions:proprietes.autres_personnes | 3
solde_hypothecaire | Solde hypothécaire | text | Propriété à refinancer | index.php:getFieldDefinitions:solde_hypothecaire | 20
montant_versement | Montant du versement | text | Propriété à refinancer | index.php:getFieldDefinitions:montant_versement | 20
type_versement | Type de versement | select | Propriété à refinancer | index.php:getFieldDefinitions:type_versement | 20
paiement_accelere | Paiement accéléré | select | Propriété à refinancer | index.php:getFieldDefinitions:paiement_accelere | 20
valeur_estimee | Valeur estimée de la propriété | text | Propriété à refinancer | index.php:getFieldDefinitions:valeur_estimee | 20
valeur_achat | Valeur de la propriété au moment de l'achat | text | Propriété à refinancer | index.php:getFieldDefinitions:valeur_achat | 20
annee_construction | Année de construction de la propriété | text | Propriété à refinancer | index.php:getFieldDefinitions:annee_construction | 12
grandeur_etage_pieds | Grandeur approximative de l’espace à l’étage en pieds carré approximativement | text | Propriété à refinancer | index.php:getFieldDefinitions:grandeur_etage_pieds | 12
nombre_niveaux | Nombre de niveaux ou d’étages | number | Propriété à refinancer | index.php:getFieldDefinitions:nombre_niveaux | 12
